id;nombre;codigo;descripcion;ejemplos
1;up;adaptador;haptic;SCSI Azul Informática
2;Increible Mascotas;Apartamento Verde Queso;Negro connecting Ladrillo;CSS
3;copying calculating;wireless Distrito Mejorado;Bacon Algodón payment;Increible Analista Ariary
4;servidor leverage;Granito Ergonómico Artesanal;Agente web Baleares;calculating
5;benficios;Blanco;transmitter envisioneer Aruba;Representante Avon
6;disintermediate Comunidad;International;sinergia;Agente Kiribati mindshare
7;red;Virtual;Home override Profundo;Blanco
8;a alarm;Algodón digital;Lado Argentina Infraestructura;Usabilidad
9;generate Exclusivo hacking;Metal Cantabria transition;PNG Guapa;Plástico matrix Inversor
10;bypass dinámica deposit;Bicicleta;Negro;calculating
