id;nombre;descripcion;codigo
1;transmitting usuario;plug-and-play Representante Adelante;crítica Música
2;Patatas;Pantalones navigate Guinea;deliverables Borders Queso
3;Quinta Adaptativo;Usabilidad;Extendido
4;Administrador Metal generate;monitorizar;Convertible Guapo
5;IB;Deportes Adelante;seamless Amarillo Cantabria
6;Teclado;Vía Configurable;Tajikistan Buckinghamshire
7;engineer disintermediate;focus;reboot paralelismo US
8;Barranco Metal;política;withdrawal
9;technologies interactiva;Coordinador Macedonia;Coche
10;SAS synthesize;deposit vortals Bebes;Avon Lempira Bricolaje
