id;nombre;descripcion;ejemplos
1;Videojuegos Lari;generación Acero;Rojo SAS port
2;Diseñador de Urbanización;monitor Respuesta;Negro expedite
3;visionary;Guatemala Senior Total;Fuerte
4;Operaciones bluetooth;digital Urbanización Implementación;Increible Bolivar
5;panel;XML Credit;Violeta Oficial
6;Dollar Amarillo;Comunicaciones;Paraguay PCI
7;brand feed Islands;Sopa;Singapur Checking
8;calculating Loan;HTTP;Futuro Especialista Jamaica
9;Bedfordshire Perú;Informática;metodologías
10;action-items invoice;Rústico;Práctico Seguro Partida
