id;nombre;codigo;descripcion
1;up;adaptador;haptic
2;SCSI Azul Informática;Increible Mascotas;Apartamento Verde Queso
3;Negro connecting Ladrillo;CSS;copying calculating
4;wireless Distrito Mejorado;Bacon Algodón payment;Increible Analista Ariary
5;servidor leverage;Granito Ergonómico Artesanal;Agente web Baleares
6;calculating;benficios;Blanco
7;transmitter envisioneer Aruba;Representante Avon;disintermediate Comunidad
8;International;sinergia;Agente Kiribati mindshare
9;red;Virtual;Home override Profundo
10;Blanco;a alarm;Algodón digital
